acc_x,acc_y,acc_z,video_frame_seq,timestamp
-0.4239501953125,-0.145751953125,0.9150390625,0,1602472687480
-0.418212890625,-0.1485595703125,0.9127197265625,0,1602472687488
-0.41064453125,-0.1512451171875,0.90673828125,0,1602472687503
-0.407470703125,-0.1527099609375,0.905029296875,0,1602472687510
-0.404541015625,-0.161376953125,0.9000244140625,1,1602472687518
-0.3995361328125,-0.1644287109375,0.9017333984375,1,1602472687533
-0.3997802734375,-0.1617431640625,0.90625,1,1602472687540
-0.4056396484375,-0.1572265625,0.9112548828125,2,1602472687548
-0.4195556640625,-0.1611328125,0.9072265625,2,1602472687563
-0.42431640625,-0.1722412109375,0.9013671875,2,1602472687570
-0.4140625,-0.1761474609375,0.9033203125,2,1602472687578
-0.4072265625,-0.164794921875,0.9124755859375,3,1602472687593
-0.42041015625,-0.1544189453125,0.9158935546875,3,1602472687600
-0.42333984375,-0.1529541015625,0.9095458984375,3,1602472687608
-0.4110107421875,-0.164306640625,0.902099609375,4,1602472687623
-0.3997802734375,-0.177001953125,0.89892578125,4,1602472687630
-0.402587890625,-0.17822265625,0.895751953125,4,1602472687638
-0.42529296875,-0.171142578125,0.8897705078125,5,1602472687652
-0.443115234375,-0.1715087890625,0.88330078125,5,1602472687660
-0.42822265625,-0.1822509765625,0.8824462890625,5,1602472687668
-0.3995361328125,-0.188720703125,0.887939453125,6,1602472687683
-0.3836669921875,-0.1844482421875,0.8997802734375,6,1602472687690
-0.3797607421875,-0.1717529296875,0.90771484375,6,1602472687698
-0.38623046875,-0.1724853515625,0.9061279296875,6,1602472687705
-0.3887939453125,-0.1827392578125,0.911865234375,7,1602472687720
-0.382568359375,-0.189697265625,0.91845703125,7,1602472687728
-0.3677978515625,-0.1812744140625,0.92138671875,7,1602472687735
-0.3582763671875,-0.1673583984375,0.9158935546875,8,1602472687750
-0.3680419921875,-0.170654296875,0.912841796875,8,1602472687758
-0.3768310546875,-0.17919921875,0.915771484375,8,1602472687765
-0.3614501953125,-0.174072265625,0.924072265625,9,1602472687780
-0.3338623046875,-0.1650390625,0.9241943359375,9,1602472687787
-0.3173828125,-0.1571044921875,0.9329833984375,9,1602472687795
-0.3370361328125,-0.1512451171875,0.9388427734375,9,1602472687810
-0.3701171875,-0.156005859375,0.937744140625,10,1602472687818
-0.382080078125,-0.1644287109375,0.928466796875,10,1602472687825
-0.36865234375,-0.1673583984375,0.9228515625,10,1602472687840
-0.35595703125,-0.16455078125,0.920654296875,11,1602472687848
-0.3568115234375,-0.154052734375,0.913330078125,11,1602472687855
-0.37255859375,-0.158203125,0.923095703125,11,1602472687870
-0.3892822265625,-0.168701171875,0.93115234375,11,1602472687878
-0.4007568359375,-0.17138671875,0.9332275390625,12,1602472687885
-0.4268798828125,-0.1685791015625,0.93310546875,12,1602472687900
-0.4609375,-0.166748046875,0.9320068359375,12,1602472687908
-0.466552734375,-0.1600341796875,0.9317626953125,13,1602472687915
-0.455322265625,-0.1527099609375,0.913330078125,13,1602472687930
-0.444091796875,-0.169189453125,0.9044189453125,13,1602472687938
-0.41796875,-0.1810302734375,0.9217529296875,13,1602472687945
-0.391357421875,-0.1646728515625,0.9610595703125,14,1602472687960
-0.3905029296875,-0.1380615234375,1.016357421875,14,1602472687968
-0.4134521484375,-0.123779296875,1.0616455078125,14,1602472687975
-0.3682861328125,-0.13427734375,1.08544921875,15,1602472687990
-0.24755859375,-0.15966796875,1.0816650390625,15,1602472687998
-0.1558837890625,-0.16455078125,1.03564453125,15,1602472688005
-0.1314697265625,-0.1734619140625,1.009521484375,16,1602472688020
-0.1363525390625,-0.1737060546875,1.0224609375,16,1602472688028
-0.171630859375,-0.1512451171875,1.0689697265625,16,1602472688035
-0.2637939453125,-0.1239013671875,1.0565185546875,17,1602472688050
-0.41064453125,-0.134765625,1.0174560546875,17,1602472688058
-0.518798828125,-0.2103271484375,0.9383544921875,17,1602472688065
-0.3917236328125,-0.2784423828125,0.8961181640625,18,1602472688080
-0.098388671875,-0.2889404296875,0.9066162109375,18,1602472688087
0.1666259765625,-0.2564697265625,0.95361328125,18,1602472688095
0.347412109375,-0.215087890625,0.9996337890625,18,1602472688110
0.39990234375,-0.202392578125,1.028564453125,19,1602472688118
0.36669921875,-0.22314453125,0.9913330078125,19,1602472688125
0.3309326171875,-0.2530517578125,0.94091796875,19,1602472688140
